name, Rendering Time, Triangle Intersections, AS Intersections, Total Intersections, Memory Consumption
cornel-4-4-30, 3172, 294662673, 944134258, 1238796931, 421744
cornel-4-4-40, 3167, 294662673, 944134258, 1238796931, 421744
cornel-4-4-50, 3163, 294662673, 944134258, 1238796931, 421744
cornel-4-4-100, 3150, 294662673, 944134258, 1238796931, 421744
cornel-4-5-30, 3171, 279566538, 944134258, 1223700796, 815444
cornel-4-5-40, 3158, 279566538, 944134258, 1223700796, 815444
cornel-4-5-50, 3097, 279566538, 944134258, 1223700796, 815444
cornel-4-5-100, 3193, 279566538, 944134258, 1223700796, 815444
cornel-4-6-30, 3064, 250220600, 944134258, 1194354858, 1488100
cornel-4-6-40, 3175, 250220600, 944134258, 1194354858, 1488100
cornel-4-6-50, 3154, 250220600, 944134258, 1194354858, 1488100
cornel-4-6-100, 3181, 250220600, 944134258, 1194354858, 1488100
cornel-4-7-30, 3133, 240317330, 944134258, 1184451588, 2505288
cornel-4-7-40, 3115, 240317330, 944134258, 1184451588, 2505288
cornel-4-7-50, 3123, 240317330, 944134258, 1184451588, 2505288
cornel-4-7-100, 3167, 240317330, 944134258, 1184451588, 2505288
cornel-4-8-30, 3075, 219203734, 944134258, 1163337992, 4019340
cornel-4-8-40, 3073, 219203734, 944134258, 1163337992, 4019340
cornel-4-8-50, 3098, 219203734, 944134258, 1163337992, 4019340
cornel-4-8-100, 3150, 219203734, 944134258, 1163337992, 4019340
cornel-4-9-30, 3080, 215529839, 944134258, 1159664097, 6091912
cornel-4-9-40, 3163, 215529839, 944134258, 1159664097, 6091912
cornel-4-9-50, 3136, 215529839, 944134258, 1159664097, 6091912
cornel-4-9-100, 3117, 215529839, 944134258, 1159664097, 6091912
cornel-4-10-30, 3006, 198491447, 944134258, 1142625705, 8907892
cornel-4-10-40, 3029, 198491447, 944134258, 1142625705, 8907892
cornel-4-10-50, 3037, 198491447, 944134258, 1142625705, 8907892
cornel-4-10-100, 2996, 198491447, 944134258, 1142625705, 8907892
cornel-5-4-30, 3032, 294662673, 786797012, 1081459685, 473824
cornel-5-4-40, 3065, 294662673, 786797012, 1081459685, 473824
cornel-5-4-50, 3079, 294662673, 786797012, 1081459685, 473824
cornel-5-4-100, 3157, 294662673, 786797012, 1081459685, 473824
cornel-5-5-30, 3073, 279566538, 786797012, 1066363550, 867524
cornel-5-5-40, 3051, 279566538, 786797012, 1066363550, 867524
cornel-5-5-50, 3023, 279566538, 786797012, 1066363550, 867524
cornel-5-5-100, 3097, 279566538, 786797012, 1066363550, 867524
cornel-5-6-30, 2972, 250220600, 786797012, 1037017612, 1540180
cornel-5-6-40, 2963, 250220600, 786797012, 1037017612, 1540180
cornel-5-6-50, 3045, 250220600, 786797012, 1037017612, 1540180
cornel-5-6-100, 2980, 250220600, 786797012, 1037017612, 1540180
cornel-5-7-30, 3009, 240317330, 786797012, 1027114342, 2557368
cornel-5-7-40, 2943, 240317330, 786797012, 1027114342, 2557368
cornel-5-7-50, 3022, 240317330, 786797012, 1027114342, 2557368
cornel-5-7-100, 3041, 240317330, 786797012, 1027114342, 2557368
cornel-5-8-30, 2975, 219203734, 786797012, 1006000746, 4071420
cornel-5-8-40, 2955, 219203734, 786797012, 1006000746, 4071420
cornel-5-8-50, 2965, 219203734, 786797012, 1006000746, 4071420
cornel-5-8-100, 2918, 219203734, 786797012, 1006000746, 4071420
cornel-5-9-30, 2966, 215529839, 786797012, 1002326851, 6143992
cornel-5-9-40, 3001, 215529839, 786797012, 1002326851, 6143992
cornel-5-9-50, 2949, 215529839, 786797012, 1002326851, 6143992
cornel-5-9-100, 2899, 215529839, 786797012, 1002326851, 6143992
cornel-5-10-30, 2975, 198491447, 786797012, 985288459, 8959972
cornel-5-10-40, 2865, 198491447, 786797012, 985288459, 8959972
cornel-5-10-50, 2969, 198491447, 786797012, 985288459, 8959972
cornel-5-10-100, 2959, 198491447, 786797012, 985288459, 8959972
cornel-6-4-30, 3039, 294662673, 778121736, 1072784409, 552832
cornel-6-4-40, 2993, 294662673, 778121736, 1072784409, 552832
cornel-6-4-50, 3155, 294662673, 778121736, 1072784409, 552832
cornel-6-4-100, 3077, 294662673, 778121736, 1072784409, 552832
cornel-6-5-30, 2992, 279566538, 778121736, 1057688274, 946532
cornel-6-5-40, 3014, 279566538, 778121736, 1057688274, 946532
cornel-6-5-50, 3043, 279566538, 778121736, 1057688274, 946532
cornel-6-5-100, 3052, 279566538, 778121736, 1057688274, 946532
cornel-6-6-30, 2985, 250220600, 778121736, 1028342336, 1619188
cornel-6-6-40, 2999, 250220600, 778121736, 1028342336, 1619188
cornel-6-6-50, 2941, 250220600, 778121736, 1028342336, 1619188
cornel-6-6-100, 3015, 250220600, 778121736, 1028342336, 1619188
cornel-6-7-30, 2978, 240317330, 778121736, 1018439066, 2636376
cornel-6-7-40, 3010, 240317330, 778121736, 1018439066, 2636376
cornel-6-7-50, 2949, 240317330, 778121736, 1018439066, 2636376
cornel-6-7-100, 2955, 240317330, 778121736, 1018439066, 2636376
cornel-6-8-30, 2896, 219203734, 778121736, 997325470, 4150428
cornel-6-8-40, 2997, 219203734, 778121736, 997325470, 4150428
cornel-6-8-50, 2975, 219203734, 778121736, 997325470, 4150428
cornel-6-8-100, 2889, 219203734, 778121736, 997325470, 4150428
cornel-6-9-30, 2885, 215529839, 778121736, 993651575, 6223000
cornel-6-9-40, 2944, 215529839, 778121736, 993651575, 6223000
cornel-6-9-50, 2860, 215529839, 778121736, 993651575, 6223000
cornel-6-9-100, 2956, 215529839, 778121736, 993651575, 6223000
