name, Rendering Time, Triangle Intersections, AS Intersections, Total Intersections, Memory Consumption
lucy-4-30, 5734, 375391096, 2416190606, 2791581702, 303098640
lucy-4-40, 5830, 494998063, 2311350948, 2806349011, 222701776
lucy-4-50, 5919, 597324883, 2239278382, 2836603265, 176026148
lucy-4-100, 6208, 753371452, 2157135882, 2910507334, 126572852
lucy-5-30, 5432, 345042844, 2077950182, 2422993026, 640500756
lucy-5-40, 5383, 455424245, 1979804642, 2435228887, 460990680
lucy-5-50, 5574, 550896971, 1912585240, 2463482211, 356913864
lucy-5-100, 5785, 695592750, 1836241102, 2531833852, 246910296
lucy-6-30, 5280, 298995608, 1947929014, 2246924622, 1213206112
lucy-6-40, 5116, 384437313, 1865090358, 2249527671, 857613636
lucy-6-50, 5334, 457561438, 1808443678, 2266005116, 651661332
lucy-6-100, 5465, 567740790, 1743750700, 2311491490, 434509304
lucy-7-30, 5102, 271285866, 1762736842, 2034022708, 2108866184
lucy-7-40, 5165, 348142997, 1685989920, 2034132917, 1468549948
lucy-7-50, 5146, 414779662, 1633233782, 2048013444, 1098265320
lucy-7-100, 5218, 513350490, 1573326100, 2086676590, 708871512
lucy-8-30, 4973, 248364320, 1599159436, 1847523756, 3431431260
lucy-8-40, 5043, 312562917, 1530053906, 1842616823, 2360443500
lucy-8-50, 5325, 367317709, 1482997440, 1850315149, 1742066784
lucy-8-100, 5107, 448951963, 1429032534, 1877984497, 1093237980
lucy-9-30, 5269, 229556974, 1554487148, 1784044122, 5299667000
lucy-9-40, 5013, 287265230, 1489856296, 1777121526, 3609229600
lucy-9-50, 5068, 336896791, 1445733044, 1782629835, 2634327576
lucy-9-100, 4956, 409647570, 1395261896, 1804909466, 1613576628
lucy-10-30, 5160, 214102070, 1464843684, 1678945754, 7845620092
lucy-10-40, 5159, 264277393, 1404955532, 1669232925, 5298735064
lucy-10-50, 4823, 307226135, 1364013384, 1671239519, 3831601712
lucy-10-100, 4757, 370294670, 1317229442, 1687524112, 2298045604
